legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
058b4ff3639c7f8573da69fa1233a17d,2022-04-16,2022-04-21,LAX,BOS,EH0KUEL1,PT5H33M,1,False,False,True,572.09,629.60,7,2606,1650604500,2022-04-21T22:15:00.000-07:00,1650624480,2022-04-22T06:48:00.000-04:00,BOS,LAX,JetBlue Airways,B6,Airbus A319-321,19980,2606,coach
c86bc7d8888f24efcbeff7ed3c169462,2022-04-16,2022-04-21,LAX,BOS,EH0KUEL1,PT5H36M,0,False,False,True,572.09,629.60,7,2606,1650578700,2022-04-21T15:05:00.000-07:00,1650598860,2022-04-21T23:41:00.000-04:00,BOS,LAX,JetBlue Airways,B6,Airbus A319-321,20160,2606,coach
e5764a1160ffe8072b22b7050c0fc3d6,2022-04-16,2022-04-21,LAX,BOS,EH0KUEL1,PT5H38M,0,False,False,True,572.09,629.60,7,2606,1650574560,2022-04-21T13:56:00.000-07:00,1650594840,2022-04-21T22:34:00.000-04:00,BOS,LAX,JetBlue Airways,B6,Airbus A319-321,20280,2606,coach
3715a92ecfb3d899f9cdca6a4f10c58a,2022-04-16,2022-04-21,LAX,BOS,BH3AUEL1,PT12H26M,1,False,False,False,580.19,652.90,2,2621,1650608220||1650648600,2022-04-21T23:17:00.000-07:00||2022-04-22T13:30:00.000-04:00,1650627600||1650652980,2022-04-22T07:40:00.000-04:00||2022-04-22T14:43:00.000-04:00,JFK||BOS,ONT||JFK,JetBlue Airways||JetBlue Airways,B6||B6,Airbus A321||Airbus A320,19380||4380,2436||185,coach||coach
7478cd4635b5be0e5355d3c716ebc38a,2022-04-16,2022-04-21,LAX,BOS,YH0KUEY5,PT5H31M,0,False,False,True,609.30,669.60,7,2606,1650545100,2022-04-21T05:45:00.000-07:00,1650564960,2022-04-21T14:16:00.000-04:00,BOS,LAX,American Airlines,AA,Airbus A321,19860,2606,coach
24f41749b3e5f536d00703c603d7fc69,2022-04-16,2022-04-21,LAX,BOS,YH0KUEY5,PT5H33M,1,False,False,True,609.30,669.60,7,2606,1650604500,2022-04-21T22:15:00.000-07:00,1650624480,2022-04-22T06:48:00.000-04:00,BOS,LAX,American Airlines,AA,Airbus A321,19980,2606,coach
cbef95d35c69f591244ad542acfbfb74,2022-04-16,2022-04-21,LAX,BOS,YH0KUEY5,PT5H36M,0,False,False,True,609.30,669.60,7,2606,1650578700,2022-04-21T15:05:00.000-07:00,1650598860,2022-04-21T23:41:00.000-04:00,BOS,LAX,American Airlines,AA,Airbus A321,20160,2606,coach
2024a4f72ae5b1b8a951f0c91da31bfc,2022-04-16,2022-04-21,LAX,BOS,YH0KUEY5,PT5H38M,0,False,False,True,609.30,669.60,7,2606,1650574560,2022-04-21T13:56:00.000-07:00,1650594840,2022-04-21T22:34:00.000-04:00,BOS,LAX,American Airlines,AA,Airbus A321,20280,2606,coach
6953b462f6921372930324b3d864c89c,2022-04-16,2022-04-21,LAX,BOS,KH0OAJMN,PT9H2M,1,False,False,False,632.56,703.60,1,3037,1650589500||1650601500,2022-04-21T18:05:00.000-07:00||2022-04-21T21:25:00.000-07:00,1650594600||1650622020,2022-04-21T19:30:00.000-07:00||2022-04-22T06:07:00.000-04:00,SFO||BOS,LAX||SFO,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737-900||Boeing 737-800,5100||20520,339||2698,coach||coach
bcedc2ca0c1fab72847d90f6c5f7824c,2022-04-16,2022-04-22,BOS,LAX,WAA3PFEN,PT8H1M,0,False,False,False,234.42,275.60,8,2590,1650627000||1650647880,2022-04-22T07:30:00.000-04:00||2022-04-22T11:18:00.000-06:00,1650643860||1650655860,2022-04-22T10:11:00.000-06:00||2022-04-22T12:31:00.000-07:00,DEN||ONT,BOS||DEN,United||United,UA||UA,Boeing 737-800||Boeing 737-800,16860||7980,1763||827,coach||coach
