itinerary_id,search_date,flight_date,origin,destination,direction,hub,inbound_carrier,outbound_carrier,carrier_pair,cabin_pair,hub_arrival_local,hub_departure_local,hub_arrival_epoch,hub_departure_epoch,layover_minutes,night_overlap_minutes,crosses_local_midnight,long_layover_6h,source_offer_count,source_csv_rows
c9d287a5e69c0543,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,JFK,AA,AA,AA / AA,coach / coach,2022-04-17T20:30:00-04:00,2022-04-17T21:29:00-04:00,1650241800,1650245340,59.0,0.0,0,0,1,102
85bf92ac68bec257,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DEN,UA,UA,UA / UA,coach / coach,2022-04-17T08:23:00-06:00,2022-04-17T09:50:00-06:00,1650205380,1650210600,87.0,0.0,0,0,1,103
1b251ee017aa1994,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-17T19:20:00-05:00,2022-04-17T20:35:00-05:00,1650241200,1650245700,75.0,0.0,0,0,1,104
c4df8fcfd8855ba2,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SLC,DL,DL,DL / DL,coach / coach,2022-04-17T08:52:00-06:00,2022-04-17T09:57:00-06:00,1650207120,1650211020,65.0,0.0,0,0,1,105
cfd1eb1dfe8d6720,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,CVG,DL,DL,DL / DL,coach / coach,2022-04-18T05:06:00-04:00,2022-04-18T06:30:00-04:00,1650272760,1650277800,84.0,54.0,0,0,1,106
b615a440477e9dae,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DEN,UA,UA,UA / UA,coach / coach,2022-04-17T16:11:00-06:00,2022-04-17T17:44:00-06:00,1650233460,1650239040,93.0,0.0,0,0,1,107
15ed3698785156ff,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DFW,AA,AA,AA / AA,coach / coach,2022-04-17T15:55:00-05:00,2022-04-17T16:59:00-05:00,1650228900,1650232740,64.0,0.0,0,0,1,108
41fdcd9df215ea89,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-18T05:47:00-05:00,2022-04-18T07:25:00-05:00,1650278820,1650284700,98.0,13.0,0,0,1,109
bc53ad7963f302b0,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-17T13:49:00-05:00,2022-04-17T15:10:00-05:00,1650221340,1650226200,81.0,0.0,0,0,1,110
f24ae5f7e6e3dc76,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,EWR,UA,UA,UA / UA,coach / coach,2022-04-17T20:54:00-04:00,2022-04-17T22:16:00-04:00,1650243240,1650248160,82.0,16.0,0,0,1,111
88a95676f4a5079e,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DEN,UA,UA,UA / UA,coach / coach,2022-04-17T14:34:00-06:00,2022-04-17T16:07:00-06:00,1650227640,1650233220,93.0,0.0,0,0,1,112
b5969432a0b398ee,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,MSP,DL,DL,DL / DL,coach / coach,2022-04-17T13:57:00-05:00,2022-04-17T15:33:00-05:00,1650221820,1650227580,96.0,0.0,0,0,1,113
e0db698fc1c2440d,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SFO,UA,UA,UA / UA,coach / coach,2022-04-17T07:41:00-07:00,2022-04-17T08:25:00-07:00,1650206460,1650209100,44.0,0.0,0,0,1,114
1800ed4547c07aa0,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DFW,AA,AA,AA / AA,coach / coach,2022-04-17T11:05:00-05:00,2022-04-17T12:24:00-05:00,1650211500,1650216240,79.0,0.0,0,0,1,115
005c745535914e0c,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,JFK,DL,DL,DL / DL,coach / coach,2022-04-18T06:00:00-04:00,2022-04-18T07:30:00-04:00,1650276000,1650281400,90.0,0.0,0,0,1,116
3fdc1beb444534cf,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DTW,DL,DL,DL / DL,coach / coach,2022-04-18T05:17:00-04:00,2022-04-18T07:30:00-04:00,1650273420,1650281400,133.0,43.0,0,0,1,117
f60bd8a86ccd0101,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,UA,UA,UA / UA,coach / coach,2022-04-18T04:52:00-05:00,2022-04-18T07:15:00-05:00,1650275520,1650284100,143.0,68.0,0,0,1,118
1c2e81fae3360afe,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,JFK,DL,DL,DL / DL,coach / coach,2022-04-18T07:53:00-04:00,2022-04-18T09:45:00-04:00,1650282780,1650289500,112.0,0.0,0,0,1,119
7d75b9a6d300ddba,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SLC,DL,DL,DL / DL,coach / coach,2022-04-17T21:40:00-06:00,2022-04-17T23:59:00-06:00,1650253200,1650261540,139.0,119.0,0,0,1,120
7f3c6a9a6fb83708,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,EWR,UA,UA,UA / UA,coach / coach,2022-04-18T08:11:00-04:00,2022-04-18T10:30:00-04:00,1650283860,1650292200,139.0,0.0,0,0,1,121
dfd221e9bccc9ea1,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-18T05:47:00-05:00,2022-04-18T08:45:00-05:00,1650278820,1650289500,178.0,13.0,0,0,1,122
feee1425b878597d,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,IAH,UA,UA,UA / UA,coach / coach,2022-04-17T05:13:00-05:00,2022-04-17T07:55:00-05:00,1650190380,1650200100,162.0,47.0,0,0,1,123
3f6805b125b7c7b2,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DTW,DL,DL,DL / DL,coach / coach,2022-04-18T06:30:00-04:00,2022-04-18T10:00:00-04:00,1650277800,1650290400,210.0,0.0,0,0,1,124
2fbefb679521b265,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,EWR,UA,UA,UA / UA,coach / coach,2022-04-18T08:11:00-04:00,2022-04-18T11:57:00-04:00,1650283860,1650297420,226.0,0.0,0,0,1,125
18bffa80a30d637c,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,MSP,DL,DL,DL / DL,coach / coach,2022-04-17T06:36:00-05:00,2022-04-17T07:35:00-05:00,1650195360,1650198900,59.0,0.0,0,0,1,129
88ec531c6e89d828,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SFO,AS,AS,AS / AS,coach / coach,2022-04-17T07:31:00-07:00,2022-04-17T09:15:00-07:00,1650205860,1650212100,104.0,0.0,0,0,1,130
7a1e7467c04b57a9,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,SLC,DL,DL,DL / DL,coach / coach,2022-04-18T09:35:00-06:00,2022-04-18T11:34:00-06:00,1650296100,1650303240,119.0,0.0,0,0,1,138
67e2c0d7186f0612,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,ORD,AA,AA,AA / AA,coach / coach,2022-04-18T15:55:00-05:00,2022-04-18T18:32:00-05:00,1650315300,1650324720,157.0,0.0,0,0,1,139
ec80a13e178c005d,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,ORD,UA,UA,UA / UA,coach / coach,2022-04-18T18:50:00-05:00,2022-04-18T21:25:00-05:00,1650325800,1650335100,155.0,0.0,0,0,1,140
a464fd5d41a2d437,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,MSP,DL,DL,DL / DL,coach / coach,2022-04-18T10:28:00-05:00,2022-04-18T13:13:00-05:00,1650295680,1650305580,165.0,0.0,0,0,1,141
b0fb4267756d1d23,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,MSP,DL,DL,DL / DL,coach / coach,2022-04-18T20:23:00-05:00,2022-04-18T21:43:00-05:00,1650331380,1650336180,80.0,0.0,0,0,1,150
361d5cab79712d6a,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,MSP,DL,DL,DL / DL,coach / coach,2022-04-18T08:22:00-05:00,2022-04-18T09:55:00-05:00,1650288120,1650293700,93.0,0.0,0,0,1,151
05b82b1ac044ff45,2022-04-16,2022-04-18,BOS,LAX,BOS-LAX,DTW,DL,DL,DL / DL,coach / coach,2022-04-18T15:00:00-04:00,2022-04-18T16:57:00-04:00,1650308400,1650315420,117.0,0.0,0,0,1,152
